Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3,MeanDeltaQ1,MeanDeltaQ2,MeanDeltaQ3
2019,4,Low-Street,Baku,19.76356589147287,0,SAI,McLaren,9,7,101.936,102.398,1000,-0.667222222,0.3229230769230611,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,NOR,McLaren,7,8,102.371,102.084,101.886,-0.232222222,0.008923076923068152,0.5736249999999927
2019,4,Low-Street,Baku,19.76356589147287,0,STR,Racing Point,13,9,102.63,1000,1000,0.026777777777780898,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,RAI,Alfa Romeo Racing,0,10,1000,1000,1000,897.3967777777777,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,ALB,Toro Rosso,11,11,102.154,102.494,1000,-0.449222222,0.41892307692306474,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,GIO,Alfa Romeo Racing,17,12,102.14,102.381,102.424,-0.463222222,0.3059230769230652,1.1116250000000036
2019,4,Low-Street,Baku,19.76356589147287,0,MAG,Haas F1 Team,12,13,102.382,102.699,1000,-0.221222222,0.623923076923063,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,HUL,Renault,15,14,103.427,1000,1000,0.8237777777777922,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,RUS,Williams,16,15,105.062,1000,1000,2.458777777777783,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,KUB,Williams,0,16,105.455,1000,1000,2.8517777777777837,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,GAS,Red Bull Racing,0,17,1000,1000,1000,897.3967777777777,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,GRO,Haas F1 Team,14,18,103.407,1000,1000,0.8037777777777819,897.924923076923,898.687625
2019,4,Low-Street,Baku,19.76356589147287,0,KVY,Toro Rosso,6,19,102.324,102.221,101.681,-0.279222222,0.1459230769230686,0.36862499999999443
2019,4,Low-Street,Baku,19.76356589147287,0,RIC,Renault,10,20,102.486,102.477,1000,-0.117222222,0.40192307692306883,898.687625
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,HAM,Mercedes,2,1,77.292,76.038,76.03999999999999,-0.7405,-1.024466667,-0.6483
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,BOT,Mercedes,1,2,76.979,75.924,75.406,-1.0535,-1.138466667,-1.2823
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,VER,Red Bull Racing,4,3,77.244,76.726,76.357,-0.7885,-0.336466667,-0.3313
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,VET,Ferrari,3,4,77.425,76.667,76.27199999999999,-0.6075,-0.395466667,-0.4163
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,LEC,Ferrari,5,5,77.388,76.714,76.588,-0.6445,-0.348466667,-0.1003
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,GAS,Red Bull Racing,6,6,77.862,76.932,76.708,-0.1705,-0.130466667,0.019700000000000273
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,MAG,Haas F1 Team,8,7,77.669,77.27199999999999,76.922,-0.3635,0.2095333333333258,0.2336999999999989
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,SAI,McLaren,12,8,77.76,77.599,1000,-0.2725,0.5365333333333382,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,KVY,Toro Rosso,9,9,77.914,77.243,77.57300000000001,-0.1185,0.18053333333332944,0.8847000000000094
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,GRO,Haas F1 Team,7,10,78.042,77.066,76.911,0.009500000000002728,0.003533333333336941,0.22270000000000323
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,ALB,Toro Rosso,11,11,77.79599999999999,77.445,1000,-0.2365,0.3825333333333276,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,RIC,Renault,13,12,78.385,77.299,78.106,0.35250000000000625,0.23653333333334103,1.4176999999999964
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,HUL,Renault,0,13,78.404,1000,1000,0.3714999999999975,922.9375333333334,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,RAI,Alfa Romeo Racing,14,14,78.132,77.788,1000,0.09950000000000614,0.7255333333333311,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,PER,Racing Point,15,15,78.286,77.886,1000,0.2535000000000025,0.8235333333333301,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,GIO,Alfa Romeo Racing,18,16,78.664,1000,1000,0.6315000000000026,922.9375333333334,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,RUS,Williams,19,17,79.072,1000,1000,1.0395000000000039,922.9375333333334,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,KUB,Williams,17,18,80.254,1000,1000,2.221500000000006,922.9375333333334,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,STR,Racing Point,16,19,78.471,1000,1000,0.4385000000000048,922.9375333333334,923.3117
2019,5,Mid-Circuit,Barcelona,20.14772727272728,0,NOR,McLaren,10,20,77.611,77.338,1000,-0.4215,0.2755333333333283,923.3117
2019,6,Low-Street,Monte Carlo,22.75467626,1,HAM,Mercedes,1,1,71.542,70.83500000000001,70.166,-0.5176,-0.625933333,-0.8055
2019,6,Low-Street,Monte Carlo,22.75467626,1,VET,Ferrari,4,2,71.434,71.227,70.947,-0.6256,-0.233933333,-0.0245
2019,6,Low-Street,Monte Carlo,22.75467626,1,BOT,Mercedes,2,3,71.562,70.701,70.252,-0.4976,-0.759933333,-0.7195
2019,6,Low-Street,Monte Carlo,22.75467626,1,VER,Red Bull Racing,3,4,71.597,70.618,70.641,-0.4626,-0.842933333,-0.3305
2019,6,Low-Street,Monte Carlo,22.75467626,1,GAS,Red Bull Racing,8,5,71.74,71.457,71.041,-0.3196,-0.003933333,0.06949999999999079
2019,6,Low-Street,Monte Carlo,22.75467626,1,SAI,McLaren,9,6,71.872,71.608,71.417,-0.1876,0.14706666666667445,0.44549999999999557
2019,6,Low-Street,Monte Carlo,22.75467626,1,KVY,Toro Rosso,7,7,71.602,71.412,71.271,-0.4576,-0.048933333,0.29949999999999477
2019,6,Low-Street,Monte Carlo,22.75467626,1,ALB,Toro Rosso,10,8,72.007,71.429,71.653,-0.0526,-0.031933333,0.6814999999999998
2019,6,Low-Street,Monte Carlo,22.75467626,1,RIC,Renault,6,9,71.767,71.543,71.218,-0.2926,0.08206666666667672,0.2464999999999975
2019,6,Low-Street,Monte Carlo,22.75467626,1,GRO,Haas F1 Team,13,10,71.837,72.027,1000,-0.2226,0.5660666666666714,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,NOR,McLaren,12,11,71.845,71.724,1000,-0.2146,0.2630666666666741,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,PER,Racing Point,16,12,72.233,1000,1000,0.1734000000000009,928.5390666666667,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,HUL,Renault,11,13,72.097,71.67,1000,0.037399999999990996,0.20906666666667206,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,MAG,Haas F1 Team,5,14,71.865,71.363,71.109,-0.1946,-0.097933333,0.13749999999998863
2019,6,Low-Street,Monte Carlo,22.75467626,1,RUS,Williams,19,15,73.477,1000,1000,1.4174000000000007,928.5390666666667,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,STR,Racing Point,17,16,72.846,1000,1000,0.7864000000000004,928.5390666666667,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,RAI,Alfa Romeo Racing,14,17,71.993,72.115,1000,-0.0666,0.6540666666666652,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,KUB,Williams,20,18,73.751,1000,1000,1.6914000000000016,928.5390666666667,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,GIO,Alfa Romeo Racing,18,19,71.976,72.185,1000,-0.0836,0.7240666666666726,929.0285
2019,6,Low-Street,Monte Carlo,22.75467626,1,LEC,Ferrari,15,20,72.149,1000,1000,0.0893999999999977,928.5390666666667,929.0285
2019,7,High-Street,Montr?l,29.368253968253967,0,HAM,Mercedes,2,1,71.518,71.01,70.446,-0.5278,-0.552571429,-0.890111111
2019,7,High-Street,Montr?l,29.368253968253967,0,VET,Ferrari,1,2,71.2,71.142,70.24,-0.8458,-0.420571429,-1.096111111
2019,7,High-Street,Montr?l,29.368253968253967,0,LEC,Ferrari,3,3,71.214,71.205,70.92,-0.8318,-0.357571429,-0.416111111
2019,7,High-Street,Montr?l,29.368253968253967,0,BOT,Mercedes,6,4,71.229,71.095,71.101,-0.8168,-0.467571429,-0.235111111
2019,7,High-Street,Montr?l,29.368253968253967,0,VER,Red Bull Racing,9,5,71.619,71.8,1000,-0.4268,0.23742857142856622,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,RIC,Renault,4,6,71.837,71.532,71.071,-0.2088,-0.030571429,-0.265111111
2019,7,High-Street,Montr?l,29.368253968253967,0,HUL,Renault,7,7,71.72,71.553,71.324,-0.3258,-0.009571429,-0.012111111
2019,7,High-Street,Montr?l,29.368253968253967,0,GAS,Red Bull Racing,5,8,72.023,71.196,71.07900000000001,-0.0228,-0.366571429,-0.257111111
2019,7,High-Street,Montr?l,29.368253968253967,0,STR,Racing Point,17,9,72.266,1000,1000,0.2202000000000055,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,KVY,Toro Rosso,10,10,71.965,71.92099999999999,1000,-0.0808,0.3584285714285613,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,SAI,McLaren,11,11,71.75,71.572,73.981,-0.2958,0.009428571428571786,2.644888888888886
2019,7,High-Street,Montr?l,29.368253968253967,0,PER,Racing Point,15,12,72.197,1000,1000,0.1512000000000029,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,GIO,Alfa Romeo Racing,12,13,72.122,72.136,1000,0.07620000000000005,0.5734285714285647,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,GRO,Haas F1 Team,14,14,72.109,1000,1000,0.06319999999999482,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,RAI,Alfa Romeo Racing,16,15,72.23,1000,1000,0.18420000000000414,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,RUS,Williams,18,16,73.617,1000,1000,1.5712000000000046,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,MAG,Haas F1 Team,0,17,72.107,71.786,1000,0.06119999999999948,0.22342857142857042,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,KUB,Williams,19,18,74.393,1000,1000,2.347200000000001,928.4374285714285,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,ALB,Toro Rosso,13,19,72.02,72.193,1000,-0.0258,0.6304285714285669,928.6638888888889
2019,7,High-Street,Montr?l,29.368253968253967,0,NOR,McLaren,8,20,71.78,71.735,71.863,-0.2658,0.1724285714285685,0.526888888888891
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,HAM,Mercedes,1,1,90.609,89.52,88.319,-0.6849,-0.7142,-1.4369
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,BOT,Mercedes,2,2,90.55,89.437,88.605,-0.7439,-0.7972,-1.1509
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,LEC,Ferrari,3,3,90.647,89.699,88.965,-0.6469,-0.5352,-0.7909
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,VER,Red Bull Racing,4,4,91.327,90.099,89.40899999999999,0.03310000000000457,-0.1352,-0.3469
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,VET,Ferrari,7,5,91.075,89.506,89.799,-0.2189,-0.7282,0.043100000000009686
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,SAI,McLaren,6,6,91.073,90.319,89.52199999999999,-0.2209,0.08480000000000132,-0.2339
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,RAI,Alfa Romeo Racing,12,7,90.972,90.533,1000,-0.3219,0.29879999999999995,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,HUL,Renault,13,8,90.865,90.544,1000,-0.4289,0.30979999999999563,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,NOR,McLaren,5,9,90.989,90.019,89.418,-0.3049,-0.2152,-0.3379
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,GAS,Red Bull Racing,9,10,91.152,90.421,90.184,-0.1419,0.18680000000000518,0.4281000000000006
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,RIC,Renault,8,11,90.954,90.369,89.918,-0.3399,0.13479999999999848,0.16210000000000946
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,PER,Racing Point,14,12,90.964,90.738,1000,-0.3299,0.5037999999999982,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,STR,Racing Point,17,13,91.726,1000,1000,0.4321000000000055,909.7658,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,KVY,Toro Rosso,19,14,91.564,1000,1000,0.27009999999999934,909.7658,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,ALB,Toro Rosso,11,15,91.445,90.461,1000,0.15109999999999957,0.22679999999999723,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,GIO,Alfa Romeo Racing,10,16,91.18,90.408,93.42,-0.1139,0.17379999999999995,3.664100000000005
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,MAG,Haas F1 Team,15,17,91.166,91.44,1000,-0.1279,1.2057999999999964,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,KUB,Williams,18,18,93.205,1000,1000,1.9111000000000047,909.7658,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,RUS,Williams,20,19,92.789,1000,1000,1.4951000000000079,909.7658,910.2441
2019,8,High-Circuit,Le Castellet,26.89421487603306,0,GRO,Haas F1 Team,16,20,91.626,1000,1000,0.33210000000001116,909.7658,910.2441
2019,9,High-Circuit,Spielberg,34.44406779661016,0,VER,Red Bull Racing,2,1,63.807,63.835,63.439,-0.84505,-0.9332,-0.333888889
2019,9,High-Circuit,Spielberg,34.44406779661016,0,LEC,Ferrari,1,2,64.138,63.378,63.003,-0.51405,-1.3902,-0.769888889
2019,9,High-Circuit,Spielberg,34.44406779661016,0,BOT,Mercedes,3,3,64.084,63.863,63.537,-0.56805,-0.9052,-0.235888889
2019,9,High-Circuit,Spielberg,34.44406779661016,0,VET,Ferrari,9,4,64.43,63.667,1000,-0.22205,-1.1012,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,HAM,Mercedes,4,5,63.818,63.803,63.262,-0.83405,-0.9652,-0.510888889
2019,9,High-Circuit,Spielberg,34.44406779661016,0,NOR,McLaren,5,6,64.361,64.211,64.099,-0.29105,-0.5572,0.3261111111111106
2019,9,High-Circuit,Spielberg,34.44406779661016,0,GAS,Red Bull Racing,8,7,64.412,63.988,64.199,-0.24005,-0.7802,0.4261111111111049
2019,9,High-Circuit,Spielberg,34.44406779661016,0,SAI,McLaren,19,8,64.453,73.601,1000,-0.19905,8.832799999999992,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,RAI,Alfa Romeo Racing,6,9,64.615,64.056,64.166,-0.03705,-0.7122,0.39311111111110364
2019,9,High-Circuit,Spielberg,34.44406779661016,0,GIO,Alfa Romeo Racing,7,10,64.45,64.194,64.179,-0.20205,-0.5742,0.40611111111110887
2019,9,High-Circuit,Spielberg,34.44406779661016,0,PER,Racing Point,13,11,64.789,1000,1000,0.1369499999999988,935.2318,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,RIC,Renault,12,12,64.647,64.79,1000,-0.00505,0.02179999999999893,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,HUL,Renault,15,13,64.733,64.516,1000,0.08095000000000141,-0.2522,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,STR,Racing Point,14,14,64.832,1000,1000,0.17994999999999095,935.2318,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,ALB,Toro Rosso,18,15,64.708,64.665,1000,0.055949999999995725,-0.1032,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,GRO,Haas F1 Team,11,16,64.55199999999999,64.49,1000,-0.10005,-0.2782,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,KVY,Toro Rosso,16,17,65.324,1000,1000,0.6719499999999954,935.2318,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,RUS,Williams,0,18,65.904,1000,1000,1.2519499999999937,935.2318,936.2271111111111
2019,9,High-Circuit,Spielberg,34.44406779661016,0,MAG,Haas F1 Team,10,19,64.778,64.466,64.072,0.12595000000000312,-0.3022,0.29911111111110955
2019,9,High-Circuit,Spielberg,34.44406779661016,0,KUB,Williams,17,20,66.206,1000,1000,1.5539500000000004,935.2318,936.2271111111111
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,HAM,Mercedes,2,1,85.513,85.84,85.099,-0.91805,-0.410866667,-0.6164
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,BOT,Mercedes,1,2,85.75,85.672,85.093,-0.68105,-0.578866667,-0.6224
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,LEC,Ferrari,3,3,85.533,85.54599999999999,85.172,-0.89805,-0.704866667,-0.5434
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,GAS,Red Bull Racing,5,4,86.273,86.038,85.59,-0.15805,-0.212866667,-0.1254
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,VER,Red Bull Racing,4,5,85.7,85.848,85.276,-0.73105,-0.402866667,-0.4394
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,SAI,McLaren,13,6,86.203,86.578,1000,-0.22805,0.32713333333333594,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,RIC,Renault,7,7,86.428,86.283,86.182,-0.00305,0.032133333333334235,0.4665999999999997
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,RAI,Alfa Romeo Racing,12,8,86.55799999999999,86.54599999999999,1000,0.12694999999999368,0.29513333333332525,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,KVY,Toro Rosso,17,9,86.721,1000,1000,0.2899500000000046,913.7491333333334,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,HUL,Renault,10,10,86.568,86.39699999999999,86.386,0.1369499999999988,0.14613333333332434,0.6705999999999932
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,NOR,McLaren,8,11,86.07900000000001,86.385,86.224,-0.35205,0.1341333333333381,0.5086000000000013
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,ALB,Toro Rosso,9,12,86.482,86.40299999999999,86.345,0.05095000000000027,0.15213333333332457,0.6295999999999964
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,STR,Racing Point,18,13,86.762,1000,1000,0.3309500000000014,913.7491333333334,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,RUS,Williams,19,14,87.789,1000,1000,1.3579500000000024,913.7491333333334,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,KUB,Williams,20,15,88.257,1000,1000,1.825950000000006,913.7491333333334,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,VET,Ferrari,6,16,85.898,86.023,85.787,-0.53305,-0.227866667,0.07160000000000366
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,PER,Racing Point,15,17,86.649,86.928,1000,0.21795000000000186,0.6771333333333303,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,GIO,Alfa Romeo Racing,11,18,86.449,86.519,1000,0.017949999999999022,0.26813333333333844,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,GRO,Haas F1 Team,14,19,86.34700000000001,86.757,1000,-0.08405,0.506133333333338,914.2846
2019,10,Mid-Circuit,Silverstone,18.90508474576272,0,MAG,Haas F1 Team,16,20,86.662,1000,1000,0.2309500000000071,913.7491333333334,914.2846
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,VER,Red Bull Racing,2,1,72.593,72.42699999999999,72.113,-0.662,-0.249666667,-0.443444444
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,VET,Ferrari,20,2,1000,1000,1000,926.745,927.3233333333333,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,KVY,Toro Rosso,14,3,73.278,73.135,1000,0.023000000000010346,0.4583333333333286,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,STR,Racing Point,15,4,73.256,73.45,1000,0.0010000000000047748,0.7733333333333263,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,SAI,McLaren,7,5,73.221,72.632,72.897,-0.034,-0.044666667,0.3405555555555537
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,ALB,Toro Rosso,16,6,73.461,1000,1000,0.20600000000000307,927.3233333333333,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,GRO,Haas F1 Team,6,7,73.146,72.769,72.851,-0.109,0.09233333333332894,0.29455555555554724
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,MAG,Haas F1 Team,12,8,73.103,72.789,1000,-0.152,0.11233333333332496,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,HAM,Mercedes,1,9,72.852,72.149,71.767,-0.403,-0.527666667,-0.789444444
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,KUB,Williams,18,10,74.839,1000,1000,1.5840000000000032,927.3233333333333,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,RUS,Williams,17,11,74.721,1000,1000,1.4660000000000082,927.3233333333333,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,RAI,Alfa Romeo Racing,5,12,73.066,72.519,72.538,-0.189,-0.157666667,-0.018444444
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,GIO,Alfa Romeo Racing,11,13,73.17,72.786,1000,-0.085,0.10933333333332484,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,GAS,Red Bull Racing,4,14,72.991,72.385,72.522,-0.264,-0.291666667,-0.034444444
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,BOT,Mercedes,3,15,73.075,72.424,72.129,-0.18,-0.252666667,-0.427444444
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,HUL,Renault,9,16,73.186,72.766,73.126,-0.069,0.08933333333332882,0.5695555555555529
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,LEC,Ferrari,10,17,72.229,72.344,1000,-1.026,-0.332666667,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,NOR,McLaren,19,18,73.333,1000,1000,0.07800000000000296,927.3233333333333,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,RIC,Renault,13,19,73.131,72.799,1000,-0.124,0.12233333333333007,927.4435555555556
2019,11,Mid-Circuit,Hockenheim,21.503401360544217,1,PER,Racing Point,8,20,73.194,72.776,73.065,-0.061,0.09933333333331973,0.5085555555555459
2019,12,Low-Circuit,Budapest,25.66,0,HAM,Mercedes,3,1,76.068,75.548,74.769,-0.67565,-0.7116,-0.5511
2019,12,Low-Circuit,Budapest,25.66,0,VER,Red Bull Racing,1,2,75.81700000000001,75.57300000000001,74.572,-0.92665,-0.6866,-0.7481
2019,12,Low-Circuit,Budapest,25.66,0,VET,Ferrari,5,3,76.452,75.885,75.071,-0.29165,-0.3746,-0.2491
2019,12,Low-Circuit,Budapest,25.66,0,LEC,Ferrari,4,4,76.337,75.792,75.043,-0.40665,-0.4676,-0.2771
2019,12,Low-Circuit,Budapest,25.66,0,SAI,McLaren,8,5,76.493,76.30799999999999,75.852,-0.25065,0.048399999999986676,0.5319000000000074
2019,12,Low-Circuit,Budapest,25.66,0,GAS,Red Bull Racing,6,6,76.71600000000001,76.393,75.45,-0.02765,0.13339999999999463,0.12990000000000634
2019,12,Low-Circuit,Budapest,25.66,0,RAI,Alfa Romeo Racing,10,7,76.506,76.518,76.041,-0.23765,0.25839999999999463,0.7209000000000003
2019,12,Low-Circuit,Budapest,25.66,0,BOT,Mercedes,2,8,76.078,75.669,74.59,-0.66565,-0.5906,-0.7301
2019,12,Low-Circuit,Budapest,25.66,0,NOR,McLaren,7,9,76.697,76.06,75.8,-0.04665,-0.1996,0.47990000000000066
2019,12,Low-Circuit,Budapest,25.66,0,ALB,Toro Rosso,12,10,76.912,76.687,1000,0.16835000000000377,0.42739999999999156,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,PER,Racing Point,16,11,77.10900000000001,1000,1000,0.3653500000000065,923.7404,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,HUL,Renault,11,12,76.78999999999999,76.565,1000,0.04634999999998968,0.3053999999999917,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,MAG,Haas F1 Team,14,13,76.122,77.081,1000,-0.62165,0.821399999999997,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,RIC,Renault,20,14,77.257,1000,1000,0.5133500000000026,923.7404,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,KVY,Toro Rosso,13,15,76.75,76.69200000000001,1000,0.006349999999997635,0.43240000000000123,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,RUS,Williams,15,16,77.031,1000,1000,0.28735000000000355,923.7404,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,STR,Racing Point,18,17,77.542,1000,1000,0.7983499999999992,923.7404,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,GIO,Alfa Romeo Racing,17,18,76.894,76.804,1000,0.1503500000000031,0.544399999999996,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,KUB,Williams,19,19,78.324,1000,1000,1.5803499999999957,923.7404,924.6799
2019,12,Low-Circuit,Budapest,25.66,0,GRO,Haas F1 Team,9,20,76.97800000000001,76.319,76.013,0.23435000000000628,0.05939999999999657,0.6929000000000087
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,LEC,Ferrari,1,1,103.587,102.938,102.519,-2.076789474,-1.376714286,-1.4131
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,HAM,Mercedes,3,2,105.26,103.592,103.282,-0.403789474,-0.722714286,-0.6501
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,BOT,Mercedes,4,3,105.141,103.98,103.415,-0.522789474,-0.334714286,-0.5171
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,VET,Ferrari,2,4,104.109,103.037,103.267,-1.554789474,-1.277714286,-0.6651
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,ALB,Red Bull Racing,17,5,105.528,105.799,1000,-0.135789474,1.4842857142857184,896.0679
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,PER,Racing Point,7,6,105.732,104.707,104.706,0.06821052631578084,0.39228571428570547,0.7739000000000118
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,KVY,Toro Rosso,19,7,106.518,1000,1000,0.8542105263157822,895.6852857142857,896.0679
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,HUL,Renault,12,8,105.899,104.549,104.542,0.23521052631578243,0.23428571428571843,0.6099000000000103
2019,13,High-Circuit,Spa-Francorchamps,17.4,0,GAS,Toro Rosso,13,9,106.435,1000,1000,0.7712105263157838,895.6852857142857,896.0679
