Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3,MeanDeltaQ1,MeanDeltaQ2,MeanDeltaQ3
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,RIC,Red Bull Racing,6,1,93.877,92.688,91.948,0.31475000000000364,-0.087933333,-0.0805
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,BOT,Mercedes,3,2,92.921,92.063,91.625,-0.64125,-0.712933333,-0.4035
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,RAI,Ferrari,2,3,92.474,92.286,91.182,-1.08825,-0.489933333,-0.8465
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,HAM,Mercedes,4,4,93.283,91.914,91.675,-0.27925,-0.861933333,-0.3535
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,VER,Red Bull Racing,5,5,92.932,92.809,91.796,-0.63025,0.03306666666665592,-0.2325
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,HUL,Renault,7,6,93.545,92.494,92.532,-0.01725,-0.281933333,0.5035000000000025
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,ALO,McLaren,13,7,93.428,93.232,1000,-0.13425,0.45606666666665774,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,VET,Ferrari,1,8,92.171,92.385,91.095,-1.39125,-0.390933333,-0.9335
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,SAI,Renault,9,9,93.315,92.97,92.819,-0.24725,0.19406666666665728,0.7905000000000086
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,MAG,Haas F1 Team,11,10,93.359,92.986,1000,-0.20325,0.21006666666666263,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,OCO,Force India,12,11,93.585,93.057,1000,0.022750000000002046,0.2810666666666606,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,PER,Force India,8,12,93.464,92.931,92.758,-0.09825,0.1550666666666558,0.7295000000000016
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,VAN,McLaren,14,13,93.824,93.505,1000,0.26175000000000637,0.7290666666666539,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,STR,Williams,18,14,94.285,1000,1000,0.7227500000000049,907.2240666666667,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,SIR,Williams,16,15,94.062,1000,1000,0.4997500000000059,907.2240666666667,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,ERI,Sauber,20,16,94.914,1000,1000,1.3517500000000098,907.2240666666667,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,GRO,Haas F1 Team,10,17,93.238,92.524,92.855,-0.32425,-0.251933333,0.82650000000001
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,GAS,Toro Rosso,17,18,94.101,1000,1000,0.5387500000000074,907.2240666666667,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,LEC,Sauber,19,19,94.454,1000,1000,0.8917500000000018,907.2240666666667,907.9715
2018,3,Mid-Circuit,Shanghai,19.446428571428573,0,HAR,Toro Rosso,15,20,94.013,93.795,1000,0.45075000000001353,1.0190666666666601,907.9715
2018,4,Low-Street,Baku,16.66140350877193,0,HAM,Mercedes,2,1,102.693,102.676,101.677,-1.673736842,-0.698333333,-0.6124
2018,4,Low-Street,Baku,16.66140350877193,0,RAI,Ferrari,6,2,102.538,102.51,102.49,-1.828736842,-0.864333333,0.20059999999999434
2018,4,Low-Street,Baku,16.66140350877193,0,PER,Force India,8,3,103.992,103.366,102.547,-0.374736842,-0.008333333,0.2575999999999965
2018,4,Low-Street,Baku,16.66140350877193,0,VET,Ferrari,1,4,102.762,103.015,101.498,-1.604736842,-0.359333333,-0.7914
2018,4,Low-Street,Baku,16.66140350877193,0,SAI,Renault,9,5,103.426,103.464,103.351,-0.940736842,0.08966666666665901,1.0615999999999985
2018,4,Low-Street,Baku,16.66140350877193,0,LEC,Sauber,13,6,103.752,104.074,1000,-0.614736842,0.6996666666666584,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,ALO,McLaren,12,7,104.01,104.019,1000,-0.356736842,0.6446666666666658,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,STR,Williams,10,8,104.359,103.585,1000,-0.007736842,0.21066666666665412,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,VAN,McLaren,16,9,104.489,1000,1000,0.12226315789473574,896.6256666666667,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,HAR,Toro Rosso,19,10,117.354,1000,1000,12.98726315789473,896.6256666666667,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,ERI,Sauber,18,11,105.541,1000,1000,1.1742631578947282,896.6256666666667,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,GAS,Toro Rosso,17,12,104.496,1000,1000,0.12926315789472653,896.6256666666667,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,MAG,Haas F1 Team,15,13,103.674,104.759,1000,-0.692736842,1.3846666666666607,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,BOT,Mercedes,3,14,103.355,102.679,101.837,-1.011736842,-0.695333333,-0.4524
2018,4,Low-Street,Baku,16.66140350877193,0,GRO,Haas F1 Team,20,15,1000,1000,1000,895.6332631578947,896.6256666666667,897.7106
2018,4,Low-Street,Baku,16.66140350877193,0,VER,Red Bull Racing,5,16,102.642,102.901,101.994,-1.724736842,-0.473333333,-0.2954
2018,4,Low-Street,Baku,16.66140350877193,0,RIC,Red Bull Racing,4,17,102.857,103.482,101.911,-1.509736842,0.1076666666666597,-0.3784
2018,4,Low-Street,Baku,16.66140350877193,0,HUL,Renault,14,18,103.746,103.232,103.066,-0.620736842,-0.142333333,0.776600000000002
2018,4,Low-Street,Baku,16.66140350877193,0,OCO,Force India,7,19,103.021,102.967,102.523,-1.345736842,-0.407333333,0.2335999999999956
2018,4,Low-Street,Baku,16.66140350877193,0,SIR,Williams,11,20,104.261,103.886,1000,-0.105736842,0.5116666666666561,897.7106
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,HAM,Mercedes,1,1,77.633,77.166,76.173,-0.791736842,-0.684933333,-0.8229
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,BOT,Mercedes,2,2,77.674,77.111,76.213,-0.750736842,-0.739933333,-0.7829
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,VER,Red Bull Racing,5,3,77.411,77.26599999999999,76.816,-1.013736842,-0.584933333,-0.1799
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,VET,Ferrari,3,4,77.031,76.80199999999999,76.305,-1.393736842,-1.048933333,-0.6909
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,RIC,Red Bull Racing,6,5,77.623,77.638,76.818,-0.801736842,-0.212933333,-0.1779
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,MAG,Haas F1 Team,7,6,78.169,77.618,77.676,-0.255736842,-0.232933333,0.6800999999999959
2018,5,Mid-Circuit,Barcelona,16.050476190476193,1,SAI,Renault,9,7,78.48,77.803,77.78999999999999,0.055263157894742676,-0.047933333,0.794099999999986
