,Season,Round,Circuit,Weather,Rainfall,Driver,Team,Grid_Position,Finishing_Position,Q1,Q2,Q3
0,2019,1,Melbourne,23.477868852459014,0,BOT,Mercedes,2.0,1.0,82.367,81.193,80.598
1,2019,1,Melbourne,23.477868852459014,0,HAM,Mercedes,1.0,2.0,82.043,81.014,80.486
2,2019,1,Melbourne,23.477868852459014,0,VER,Red Bull Racing,4.0,3.0,82.876,81.678,81.32
3,2019,1,Melbourne,23.477868852459014,0,VET,Ferrari,3.0,4.0,82.885,81.912,81.19
4,2019,1,Melbourne,23.477868852459014,0,LEC,Ferrari,5.0,5.0,82.017,81.739,81.44200000000001
5,2019,1,Melbourne,23.477868852459014,0,MAG,Haas F1 Team,7.0,6.0,82.519,82.221,82.099
6,2019,1,Melbourne,23.477868852459014,0,HUL,Renault,11.0,7.0,82.53999999999999,82.562,1000.0
7,2019,1,Melbourne,23.477868852459014,0,RAI,Alfa Romeo Racing,9.0,8.0,82.96600000000001,82.349,82.314
8,2019,1,Melbourne,23.477868852459014,0,STR,Racing Point,16.0,9.0,83.017,1000.0,1000.0
9,2019,1,Melbourne,23.477868852459014,0,KVY,Toro Rosso,15.0,10.0,82.511,82.774,1000.0
10,2019,1,Melbourne,23.477868852459014,0,GAS,Red Bull Racing,17.0,11.0,83.02,1000.0,1000.0
11,2019,1,Melbourne,23.477868852459014,0,NOR,McLaren,8.0,12.0,82.702,82.423,82.304
12,2019,1,Melbourne,23.477868852459014,0,PER,Racing Point,10.0,13.0,82.908,82.532,82.781
13,2019,1,Melbourne,23.477868852459014,0,ALB,Toro Rosso,13.0,14.0,82.757,82.636,1000.0
14,2019,1,Melbourne,23.477868852459014,0,GIO,Alfa Romeo Racing,14.0,15.0,82.431,82.714,1000.0
15,2019,1,Melbourne,23.477868852459014,0,RUS,Williams,19.0,16.0,84.36,1000.0,1000.0
16,2019,1,Melbourne,23.477868852459014,0,KUB,Williams,20.0,17.0,86.06700000000001,1000.0,1000.0
17,2019,1,Melbourne,23.477868852459014,0,GRO,Haas F1 Team,6.0,18.0,82.959,81.87,81.826
18,2019,1,Melbourne,23.477868852459014,0,RIC,Renault,12.0,19.0,82.92099999999999,82.57,1000.0
19,2019,1,Melbourne,23.477868852459014,0,SAI,McLaren,18.0,20.0,83.084,1000.0,1000.0
20,2019,2,Sakhir,26.210852713178294,0,HAM,Mercedes,3.0,1.0,89.262,88.578,88.19
21,2019,2,Sakhir,26.210852713178294,0,BOT,Mercedes,4.0,2.0,89.498,88.83,88.256
22,2019,2,Sakhir,26.210852713178294,0,LEC,Ferrari,1.0,3.0,88.495,88.04599999999999,87.866
23,2019,2,Sakhir,26.210852713178294,0,VER,Red Bull Racing,5.0,4.0,89.57900000000001,89.10900000000001,88.752
24,2019,2,Sakhir,26.210852713178294,0,VET,Ferrari,2.0,5.0,88.733,88.356,88.16
25,2019,2,Sakhir,26.210852713178294,0,NOR,McLaren,9.0,6.0,89.381,89.258,89.043
26,2019,2,Sakhir,26.210852713178294,0,RAI,Alfa Romeo Racing,8.0,7.0,89.959,89.471,89.02199999999999
27,2019,2,Sakhir,26.210852713178294,0,GAS,Red Bull Racing,13.0,8.0,89.9,89.526,1000.0
28,2019,2,Sakhir,26.210852713178294,0,ALB,Toro Rosso,12.0,9.0,89.514,89.513,1000.0
29,2019,2,Sakhir,26.210852713178294,0,PER,Racing Point,14.0,10.0,89.893,89.756,1000.0
30,2019,2,Sakhir,26.210852713178294,0,GIO,Alfa Romeo Racing,16.0,11.0,90.026,1000.0,1000.0
31,2019,2,Sakhir,26.210852713178294,0,KVY,Toro Rosso,15.0,12.0,89.876,89.854,1000.0
32,2019,2,Sakhir,26.210852713178294,0,MAG,Haas F1 Team,6.0,13.0,89.532,89.017,88.757
33,2019,2,Sakhir,26.210852713178294,0,STR,Racing Point,18.0,14.0,90.217,1000.0,1000.0
34,2019,2,Sakhir,26.210852713178294,0,RUS,Williams,19.0,15.0,91.759,1000.0,1000.0
35,2019,2,Sakhir,26.210852713178294,0,KUB,Williams,20.0,16.0,91.799,1000.0,1000.0
36,2019,2,Sakhir,26.210852713178294,0,HUL,Renault,17.0,17.0,90.03399999999999,1000.0,1000.0
37,2019,2,Sakhir,26.210852713178294,0,RIC,Renault,10.0,18.0,89.85900000000001,89.488,1000.0
38,2019,2,Sakhir,26.210852713178294,0,SAI,McLaren,7.0,19.0,89.52799999999999,89.055,88.813
39,2019,2,Sakhir,26.210852713178294,0,GRO,Haas F1 Team,11.0,20.0,89.688,89.249,89.015
40,2019,3,Shanghai,19.32992125984252,0,HAM,Mercedes,2.0,1.0,93.11500000000001,91.637,91.57
41,2019,3,Shanghai,19.32992125984252,0,BOT,Mercedes,1.0,2.0,92.658,91.72800000000001,91.547
42,2019,3,Shanghai,19.32992125984252,0,VET,Ferrari,3.0,3.0,93.557,92.232,91.848
43,2019,3,Shanghai,19.32992125984252,0,VER,Red Bull Racing,5.0,4.0,93.274,92.369,92.089
44,2019,3,Shanghai,19.32992125984252,0,LEC,Ferrari,4.0,5.0,92.712,92.324,91.865
45,2019,3,Shanghai,19.32992125984252,0,GAS,Red Bull Racing,6.0,6.0,93.863,92.94800000000001,92.93
46,2019,3,Shanghai,19.32992125984252,0,RIC,Renault,7.0,7.0,93.709,93.214,92.958
47,2019,3,Shanghai,19.32992125984252,0,PER,Racing Point,12.0,8.0,94.02600000000001,93.299,1000.0
48,2019,3,Shanghai,19.32992125984252,0,RAI,Alfa Romeo Racing,13.0,9.0,94.125,93.419,1000.0
49,2019,3,Shanghai,19.32992125984252,0,ALB,Toro Rosso,0.0,10.0,1000.0,1000.0,1000.0
50,2019,3,Shanghai,19.32992125984252,0,GRO,Haas F1 Team,10.0,11.0,93.75200000000001,93.156,1000.0
51,2019,3,Shanghai,19.32992125984252,0,STR,Racing Point,16.0,12.0,94.292,1000.0,1000.0
52,2019,3,Shanghai,19.32992125984252,0,MAG,Haas F1 Team,9.0,13.0,94.036,93.15,1000.0
