Index,Season,Round,RaceName,Circuit,Track_Type,Weather,Driver,Team,Grid_Position,Finishing_Position
57,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,VER,Red Bull Racing,2,18
58,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,VET,Aston Martin,17,19
59,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,SAI,Ferrari,9,20
60,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,VER,Red Bull Racing,1,1
61,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,PER,Red Bull Racing,3,2
62,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,NOR,McLaren,5,3
63,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,RUS,Mercedes,11,4
64,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,BOT,Alfa Romeo,7,5
65,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,LEC,Ferrari,2,6
66,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,TSU,AlphaTauri,12,7
67,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,VET,Aston Martin,13,8
68,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,MAG,Haas F1 Team,8,9
69,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,STR,Aston Martin,15,10
70,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,ALB,Williams,18,11
71,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,GAS,AlphaTauri,17,12
72,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,HAM,Mercedes,14,13
73,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,OCO,Alpine,16,14
74,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,ZHO,Alfa Romeo,0,15
75,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,LAT,Williams,19,16
76,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,MSC,Haas F1 Team,10,17
77,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,RIC,McLaren,6,18
78,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,ALO,Alpine,9,19
79,2022,4,Emilia Romagna Grand Prix,Imola,Mid-Circuit,12.899367088607592,SAI,Ferrari,4,20
80,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,VER,Red Bull Racing,3,1
