,Season,Round,Circuit,Weather,Rainfall,Driver,Team,Grid_Position,Finishing_Position,Q1,Q2,Q3
0,2024,1,Sakhir,18.22738853503185,0,VER,Red Bull Racing,1.0,1.0,90.031,89.374,89.179
1,2024,1,Sakhir,18.22738853503185,0,PER,Red Bull Racing,5.0,2.0,90.221,89.932,89.537
2,2024,1,Sakhir,18.22738853503185,0,SAI,Ferrari,4.0,3.0,89.90899999999999,89.57300000000001,89.507
3,2024,1,Sakhir,18.22738853503185,0,LEC,Ferrari,2.0,4.0,90.243,89.16499999999999,89.407
4,2024,1,Sakhir,18.22738853503185,0,RUS,Mercedes,3.0,5.0,90.35,89.922,89.485
5,2024,1,Sakhir,18.22738853503185,0,NOR,McLaren,7.0,6.0,90.143,89.941,89.614
6,2024,1,Sakhir,18.22738853503185,0,HAM,Mercedes,9.0,7.0,90.451,89.718,89.71000000000001
7,2024,1,Sakhir,18.22738853503185,0,PIA,McLaren,8.0,8.0,90.531,90.122,89.68299999999999
8,2024,1,Sakhir,18.22738853503185,0,ALO,Aston Martin,6.0,9.0,90.179,89.801,89.542
9,2024,1,Sakhir,18.22738853503185,0,STR,Aston Martin,12.0,10.0,89.965,90.2,1000.0
10,2024,1,Sakhir,18.22738853503185,0,ZHO,Kick Sauber,17.0,11.0,90.757,1000.0,1000.0
11,2024,1,Sakhir,18.22738853503185,0,MAG,Haas F1 Team,15.0,12.0,90.646,90.529,1000.0
12,2024,1,Sakhir,18.22738853503185,0,RIC,RB,14.0,13.0,90.562,90.27799999999999,1000.0
13,2024,1,Sakhir,18.22738853503185,0,TSU,RB,11.0,14.0,90.481,90.129,1000.0
14,2024,1,Sakhir,18.22738853503185,0,ALB,Williams,13.0,15.0,90.39699999999999,90.221,1000.0
15,2024,1,Sakhir,18.22738853503185,0,HUL,Haas F1 Team,10.0,16.0,90.566,89.851,90.502
16,2024,1,Sakhir,18.22738853503185,0,OCO,Alpine,19.0,17.0,90.793,1000.0,1000.0
17,2024,1,Sakhir,18.22738853503185,0,GAS,Alpine,20.0,18.0,90.94800000000001,1000.0,1000.0
18,2024,1,Sakhir,18.22738853503185,0,BOT,Kick Sauber,16.0,19.0,90.756,1000.0,1000.0
19,2024,1,Sakhir,18.22738853503185,0,SAR,Williams,18.0,20.0,90.77,1000.0,1000.0
20,2024,2,Jeddah,25.528082191780825,0,VER,Red Bull Racing,1.0,1.0,88.17099999999999,88.033,87.47200000000001
21,2024,2,Jeddah,25.528082191780825,0,PER,Red Bull Racing,3.0,2.0,88.638,88.467,87.807
22,2024,2,Jeddah,25.528082191780825,0,LEC,Ferrari,2.0,3.0,88.318,88.112,87.791
23,2024,2,Jeddah,25.528082191780825,0,PIA,McLaren,5.0,4.0,88.755,88.343,88.089
24,2024,2,Jeddah,25.528082191780825,0,ALO,Aston Martin,4.0,5.0,88.706,88.122,87.846
25,2024,2,Jeddah,25.528082191780825,0,RUS,Mercedes,7.0,6.0,88.749,88.44800000000001,88.316
26,2024,2,Jeddah,25.528082191780825,0,BEA,Ferrari,11.0,7.0,88.98400000000001,88.642,1000.0
27,2024,2,Jeddah,25.528082191780825,0,NOR,McLaren,6.0,8.0,88.805,88.479,88.132
28,2024,2,Jeddah,25.528082191780825,0,HAM,Mercedes,8.0,9.0,88.994,88.606,88.46000000000001
29,2024,2,Jeddah,25.528082191780825,0,HUL,Haas F1 Team,15.0,10.0,89.055,1000.0,1000.0
30,2024,2,Jeddah,25.528082191780825,0,ALB,Williams,12.0,11.0,89.107,88.98,1000.0
31,2024,2,Jeddah,25.528082191780825,0,MAG,Haas F1 Team,13.0,12.0,89.069,89.02,1000.0
32,2024,2,Jeddah,25.528082191780825,0,OCO,Alpine,17.0,13.0,89.475,1000.0,1000.0
33,2024,2,Jeddah,25.528082191780825,0,SAR,Williams,19.0,14.0,89.526,1000.0,1000.0
34,2024,2,Jeddah,25.528082191780825,0,TSU,RB,9.0,15.0,88.988,88.564,88.547
35,2024,2,Jeddah,25.528082191780825,0,RIC,RB,14.0,16.0,89.065,89.025,1000.0
36,2024,2,Jeddah,25.528082191780825,0,BOT,Kick Sauber,16.0,17.0,89.179,1000.0,1000.0
37,2024,2,Jeddah,25.528082191780825,0,ZHO,Kick Sauber,20.0,18.0,1000.0,1000.0,1000.0
38,2024,2,Jeddah,25.528082191780825,0,STR,Aston Martin,10.0,19.0,88.25,88.578,88.572
39,2024,2,Jeddah,25.528082191780825,0,GAS,Alpine,18.0,20.0,89.479,1000.0,1000.0
40,2024,3,Melbourne,20.62222222222222,0,SAI,Ferrari,2.0,1.0,76.731,76.189,76.185
41,2024,3,Melbourne,20.62222222222222,0,LEC,Ferrari,4.0,2.0,76.98400000000001,76.304,76.435
42,2024,3,Melbourne,20.62222222222222,0,NOR,McLaren,3.0,3.0,77.43,76.75,76.315
43,2024,3,Melbourne,20.62222222222222,0,PIA,McLaren,5.0,4.0,77.369,76.601,76.572
44,2024,3,Melbourne,20.62222222222222,0,PER,Red Bull Racing,6.0,5.0,76.805,76.631,76.274
45,2024,3,Melbourne,20.62222222222222,0,STR,Aston Martin,9.0,6.0,77.376,76.78,77.072
46,2024,3,Melbourne,20.62222222222222,0,TSU,RB,8.0,7.0,77.356,76.791,76.788
47,2024,3,Melbourne,20.62222222222222,0,ALO,Aston Martin,10.0,8.0,76.991,76.71000000000001,77.55199999999999
48,2024,3,Melbourne,20.62222222222222,0,HUL,Haas F1 Team,16.0,9.0,77.976,1000.0,1000.0
49,2024,3,Melbourne,20.62222222222222,0,MAG,Haas F1 Team,14.0,10.0,77.709,77.42699999999999,1000.0
50,2024,3,Melbourne,20.62222222222222,0,ALB,Williams,12.0,11.0,77.13,77.167,1000.0
51,2024,3,Melbourne,20.62222222222222,0,RIC,RB,18.0,12.0,78.08500000000001,1000.0,1000.0
52,2024,3,Melbourne,20.62222222222222,0,GAS,Alpine,17.0,13.0,77.982,1000.0,1000.0
53,2024,3,Melbourne,20.62222222222222,0,BOT,Kick Sauber,13.0,14.0,77.543,77.34,1000.0
54,2024,3,Melbourne,20.62222222222222,0,ZHO,Kick Sauber,19.0,15.0,78.188,1000.0,1000.0
55,2024,3,Melbourne,20.62222222222222,0,OCO,Alpine,15.0,16.0,77.617,77.697,1000.0
56,2024,3,Melbourne,20.62222222222222,0,RUS,Mercedes,7.0,17.0,77.062,76.901,76.724
57,2024,3,Melbourne,20.62222222222222,0,HAM,Mercedes,11.0,18.0,77.499,76.96000000000001,1000.0
58,2024,3,Melbourne,20.62222222222222,0,VER,Red Bull Racing,1.0,19.0,76.819,76.387,75.91499999999999
59,2024,4,Suzuka,21.691160220994476,0,VER,Red Bull Racing,1.0,1.0,88.866,88.74,88.197
60,2024,4,Suzuka,21.691160220994476,0,PER,Red Bull Racing,2.0,2.0,89.303,88.752,88.263
61,2024,4,Suzuka,21.691160220994476,0,SAI,Ferrari,4.0,3.0,89.513,89.099,88.682
62,2024,4,Suzuka,21.691160220994476,0,LEC,Ferrari,8.0,4.0,89.338,89.196,88.786
63,2024,4,Suzuka,21.691160220994476,0,NOR,McLaren,3.0,5.0,89.536,88.94,88.489
64,2024,4,Suzuka,21.691160220994476,0,ALO,Aston Martin,5.0,6.0,89.254,89.082,88.686
65,2024,4,Suzuka,21.691160220994476,0,RUS,Mercedes,9.0,7.0,89.799,89.14,89.008
66,2024,4,Suzuka,21.691160220994476,0,PIA,McLaren,6.0,8.0,89.425,89.148,88.76
67,2024,4,Suzuka,21.691160220994476,0,HAM,Mercedes,7.0,9.0,89.661,88.887,88.76599999999999
68,2024,4,Suzuka,21.691160220994476,0,TSU,RB,10.0,10.0,89.775,89.417,89.413
69,2024,4,Suzuka,21.691160220994476,0,HUL,Haas F1 Team,12.0,11.0,89.821,89.494,1000.0
70,2024,4,Suzuka,21.691160220994476,0,STR,Aston Martin,16.0,12.0,90.024,1000.0,1000.0
71,2024,4,Suzuka,21.691160220994476,0,MAG,Haas F1 Team,18.0,13.0,90.131,1000.0,1000.0
72,2024,4,Suzuka,21.691160220994476,0,BOT,Kick Sauber,13.0,14.0,89.602,89.593,1000.0
73,2024,4,Suzuka,21.691160220994476,0,OCO,Alpine,15.0,15.0,89.811,89.816,1000.0
74,2024,4,Suzuka,21.691160220994476,0,GAS,Alpine,17.0,16.0,90.119,1000.0,1000.0
75,2024,4,Suzuka,21.691160220994476,0,SAR,Williams,19.0,17.0,90.139,1000.0,1000.0
76,2024,4,Suzuka,21.691160220994476,0,ZHO,Kick Sauber,20.0,18.0,90.143,1000.0,1000.0
77,2024,4,Suzuka,21.691160220994476,0,RIC,RB,11.0,19.0,89.727,89.47200000000001,1000.0
78,2024,4,Suzuka,21.691160220994476,0,ALB,Williams,14.0,20.0,89.963,89.714,1000.0
79,2024,5,Shanghai,18.63939393939394,0,VER,Red Bull Racing,1.0,1.0,94.74199999999999,93.794,93.66
80,2024,5,Shanghai,18.63939393939394,0,NOR,McLaren,4.0,2.0,94.842,94.46000000000001,94.16499999999999
81,2024,5,Shanghai,18.63939393939394,0,PER,Red Bull Racing,2.0,3.0,95.457,94.02600000000001,93.982
82,2024,5,Shanghai,18.63939393939394,0,LEC,Ferrari,6.0,4.0,94.797,94.399,94.289
83,2024,5,Shanghai,18.63939393939394,0,SAI,Ferrari,7.0,5.0,94.97,94.368,94.297
84,2024,5,Shanghai,18.63939393939394,0,RUS,Mercedes,8.0,6.0,95.084,94.60900000000001,94.43299999999999
85,2024,5,Shanghai,18.63939393939394,0,ALO,Aston Martin,3.0,7.0,95.116,94.652,94.148
86,2024,5,Shanghai,18.63939393939394,0,PIA,McLaren,5.0,8.0,95.01400000000001,94.65899999999999,94.273
87,2024,5,Shanghai,18.63939393939394,0,HAM,Mercedes,18.0,9.0,95.57300000000001,1000.0,1000.0
88,2024,5,Shanghai,18.63939393939394,0,HUL,Haas F1 Team,9.0,10.0,95.068,94.667,94.604
89,2024,5,Shanghai,18.63939393939394,0,OCO,Alpine,13.0,11.0,95.356,95.223,1000.0
90,2024,5,Shanghai,18.63939393939394,0,ALB,Williams,14.0,12.0,95.384,95.241,1000.0
91,2024,5,Shanghai,18.63939393939394,0,GAS,Alpine,15.0,13.0,95.287,95.463,1000.0
92,2024,5,Shanghai,18.63939393939394,0,ZHO,Kick Sauber,16.0,14.0,95.505,1000.0,1000.0
93,2024,5,Shanghai,18.63939393939394,0,STR,Aston Martin,11.0,15.0,95.334,94.838,1000.0
94,2024,5,Shanghai,18.63939393939394,0,MAG,Haas F1 Team,17.0,16.0,95.51599999999999,1000.0,1000.0
95,2024,5,Shanghai,18.63939393939394,0,SAR,Williams,20.0,17.0,96.358,1000.0,1000.0
96,2024,5,Shanghai,18.63939393939394,0,RIC,RB,12.0,18.0,95.443,94.934,1000.0
97,2024,5,Shanghai,18.63939393939394,0,TSU,RB,19.0,19.0,95.74600000000001,1000.0,1000.0
98,2024,5,Shanghai,18.63939393939394,0,BOT,Kick Sauber,10.0,20.0,95.169,94.769,94.66499999999999
99,2024,6,Miami,28.521999999999995,0,NOR,McLaren,5.0,1.0,87.913,87.871,87.594
100,2024,6,Miami,28.521999999999995,0,VER,Red Bull Racing,1.0,2.0,87.689,87.566,87.241
101,2024,6,Miami,28.521999999999995,0,LEC,Ferrari,2.0,3.0,88.081,87.533,87.382
102,2024,6,Miami,28.521999999999995,0,PER,Red Bull Racing,4.0,4.0,87.77199999999999,87.839,87.46000000000001
103,2024,6,Miami,28.521999999999995,0,SAI,Ferrari,3.0,5.0,87.937,87.941,87.455
104,2024,6,Miami,28.521999999999995,0,HAM,Mercedes,8.0,6.0,88.167,87.697,88.107
105,2024,6,Miami,28.521999999999995,0,TSU,RB,10.0,7.0,88.324,88.167,88.19200000000001
106,2024,6,Miami,28.521999999999995,0,RUS,Mercedes,7.0,8.0,88.15899999999999,88.095,88.06700000000001
107,2024,6,Miami,28.521999999999995,0,ALO,Aston Martin,15.0,9.0,88.453,88.42699999999999,1000.0
108,2024,6,Miami,28.521999999999995,0,OCO,Alpine,13.0,10.0,88.209,88.371,1000.0
109,2024,6,Miami,28.521999999999995,0,HUL,Haas F1 Team,9.0,11.0,88.383,88.2,88.146
110,2024,6,Miami,28.521999999999995,0,GAS,Alpine,12.0,12.0,87.976,88.324,1000.0
111,2024,6,Miami,28.521999999999995,0,PIA,McLaren,6.0,13.0,88.032,87.721,87.675
112,2024,6,Miami,28.521999999999995,0,ZHO,Kick Sauber,19.0,14.0,88.824,1000.0,1000.0
113,2024,6,Miami,28.521999999999995,0,RIC,RB,20.0,15.0,88.617,1000.0,1000.0
114,2024,6,Miami,28.521999999999995,0,BOT,Kick Sauber,16.0,16.0,88.463,1000.0,1000.0
115,2024,6,Miami,28.521999999999995,0,STR,Aston Martin,11.0,17.0,88.17699999999999,88.22200000000001,1000.0
116,2024,6,Miami,28.521999999999995,0,ALB,Williams,14.0,18.0,88.343,88.413,1000.0
117,2024,6,Miami,28.521999999999995,0,MAG,Haas F1 Team,18.0,19.0,88.619,1000.0,1000.0
118,2024,6,Miami,28.521999999999995,0,SAR,Williams,17.0,20.0,88.487,1000.0,1000.0
119,2024,7,Imola,25.113986013986015,0,VER,Red Bull Racing,1.0,1.0,75.762,75.176,74.746
120,2024,7,Imola,25.113986013986015,0,NOR,McLaren,2.0,2.0,75.91499999999999,75.371,74.837
121,2024,7,Imola,25.113986013986015,0,LEC,Ferrari,3.0,3.0,75.82300000000001,75.328,74.97
122,2024,7,Imola,25.113986013986015,0,PIA,McLaren,5.0,4.0,75.94,75.407,74.82
123,2024,7,Imola,25.113986013986015,0,SAI,Ferrari,4.0,5.0,76.015,75.512,75.233
124,2024,7,Imola,25.113986013986015,0,HAM,Mercedes,8.0,6.0,76.604,75.67699999999999,75.504
125,2024,7,Imola,25.113986013986015,0,RUS,Mercedes,6.0,7.0,76.107,75.67099999999999,75.234
126,2024,7,Imola,25.113986013986015,0,PER,Red Bull Racing,11.0,8.0,76.404,75.706,1000.0
127,2024,7,Imola,25.113986013986015,0,STR,Aston Martin,13.0,9.0,76.458,75.992,1000.0
128,2024,7,Imola,25.113986013986015,0,TSU,RB,7.0,10.0,75.894,75.358,75.465
129,2024,7,Imola,25.113986013986015,0,HUL,Haas F1 Team,10.0,11.0,75.841,75.569,75.98
130,2024,7,Imola,25.113986013986015,0,MAG,Haas F1 Team,18.0,12.0,76.854,1000.0,1000.0
131,2024,7,Imola,25.113986013986015,0,RIC,RB,9.0,13.0,76.06,75.691,75.674
132,2024,7,Imola,25.113986013986015,0,OCO,Alpine,12.0,14.0,76.361,75.906,1000.0
133,2024,7,Imola,25.113986013986015,0,ZHO,Kick Sauber,17.0,15.0,76.834,1000.0,1000.0
134,2024,7,Imola,25.113986013986015,0,GAS,Alpine,15.0,16.0,76.015,76.381,1000.0
135,2024,7,Imola,25.113986013986015,0,SAR,Williams,19.0,17.0,1000.0,1000.0,1000.0
