,Season,Round,Circuit,Weather,Rainfall,Driver,Team,Grid_Position,Finishing_Position,Q1,Q2,Q3
0,2021,1,Sakhir,20.53834586466165,0,HAM,Mercedes,2.0,1.0,90.617,90.08500000000001,89.385
1,2021,1,Sakhir,20.53834586466165,0,VER,Red Bull Racing,1.0,2.0,90.499,90.318,88.997
2,2021,1,Sakhir,20.53834586466165,0,BOT,Mercedes,3.0,3.0,91.2,90.186,89.586
3,2021,1,Sakhir,20.53834586466165,0,NOR,McLaren,7.0,4.0,90.902,90.099,89.974
4,2021,1,Sakhir,20.53834586466165,0,PER,Red Bull Racing,0.0,5.0,91.16499999999999,90.65899999999999,1000.0
5,2021,1,Sakhir,20.53834586466165,0,LEC,Ferrari,4.0,6.0,90.691,90.01,89.678
6,2021,1,Sakhir,20.53834586466165,0,RIC,McLaren,6.0,7.0,90.795,90.22200000000001,89.92699999999999
7,2021,1,Sakhir,20.53834586466165,0,SAI,Ferrari,8.0,8.0,91.65299999999999,90.009,90.215
8,2021,1,Sakhir,20.53834586466165,0,TSU,AlphaTauri,13.0,9.0,90.607,91.203,1000.0
9,2021,1,Sakhir,20.53834586466165,0,STR,Aston Martin,10.0,10.0,91.261,90.624,90.601
10,2021,1,Sakhir,20.53834586466165,0,RAI,Alfa Romeo Racing,14.0,11.0,91.547,91.238,1000.0
11,2021,1,Sakhir,20.53834586466165,0,GIO,Alfa Romeo Racing,12.0,12.0,90.998,90.708,1000.0
12,2021,1,Sakhir,20.53834586466165,0,OCO,Alpine,16.0,13.0,91.724,1000.0,1000.0
13,2021,1,Sakhir,20.53834586466165,0,RUS,Williams,15.0,14.0,91.316,93.43,1000.0
14,2021,1,Sakhir,20.53834586466165,0,VET,Aston Martin,20.0,15.0,92.056,1000.0,1000.0
15,2021,1,Sakhir,20.53834586466165,0,MSC,Haas F1 Team,18.0,16.0,92.449,1000.0,1000.0
16,2021,1,Sakhir,20.53834586466165,0,GAS,AlphaTauri,5.0,17.0,90.848,90.513,89.809
17,2021,1,Sakhir,20.53834586466165,0,LAT,Williams,17.0,18.0,91.936,1000.0,1000.0
18,2021,1,Sakhir,20.53834586466165,0,ALO,Alpine,9.0,19.0,90.863,90.595,90.249
19,2021,1,Sakhir,20.53834586466165,0,MAZ,Haas F1 Team,19.0,20.0,93.273,1000.0,1000.0
20,2021,2,Imola,10.621118012422361,1,VER,Red Bull Racing,3.0,1.0,75.109,74.884,74.498
21,2021,2,Imola,10.621118012422361,1,HAM,Mercedes,1.0,2.0,74.82300000000001,74.81700000000001,74.411
22,2021,2,Imola,10.621118012422361,1,NOR,McLaren,7.0,3.0,75.009,74.718,74.875
23,2021,2,Imola,10.621118012422361,1,LEC,Ferrari,4.0,4.0,75.413,74.80799999999999,74.74
24,2021,2,Imola,10.621118012422361,1,SAI,Ferrari,11.0,5.0,75.406,75.199,1000.0
25,2021,2,Imola,10.621118012422361,1,RIC,McLaren,6.0,6.0,75.669,75.033,74.826
26,2021,2,Imola,10.621118012422361,1,GAS,AlphaTauri,5.0,7.0,75.548,74.92699999999999,74.78999999999999
27,2021,2,Imola,10.621118012422361,1,STR,Aston Martin,10.0,8.0,75.522,75.138,1000.0
28,2021,2,Imola,10.621118012422361,1,OCO,Alpine,9.0,9.0,75.385,75.117,75.21000000000001
29,2021,2,Imola,10.621118012422361,1,ALO,Alpine,15.0,10.0,75.832,75.593,1000.0
30,2021,2,Imola,10.621118012422361,1,PER,Red Bull Racing,2.0,11.0,75.395,74.716,74.446
31,2021,2,Imola,10.621118012422361,1,TSU,AlphaTauri,20.0,12.0,1000.0,1000.0,1000.0
32,2021,2,Imola,10.621118012422361,1,RAI,Alfa Romeo Racing,16.0,13.0,75.974,1000.0,1000.0
33,2021,2,Imola,10.621118012422361,1,GIO,Alfa Romeo Racing,17.0,14.0,76.122,1000.0,1000.0
34,2021,2,Imola,10.621118012422361,1,VET,Aston Martin,0.0,15.0,75.459,75.394,1000.0
35,2021,2,Imola,10.621118012422361,1,MSC,Haas F1 Team,18.0,16.0,76.279,1000.0,1000.0
36,2021,2,Imola,10.621118012422361,1,MAZ,Haas F1 Team,19.0,17.0,76.797,1000.0,1000.0
